latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
21.42967,72.99187,338.22,0.4,0.37,2025-04-10,825,N,VIIRS,n,2,309.88,3.12,D,0
21.52108,72.7075,336.56,0.39,0.36,2025-04-10,825,N,VIIRS,l,2,306.76,3.75,D,0
22.07533,72.54508,350.02,0.39,0.36,2025-04-10,825,N,VIIRS,n,2,315.15,6.73,D,0
22.08202,72.54397,348.37,0.39,0.36,2025-04-10,825,N,VIIRS,n,2,316.49,16.18,D,0
22.07515,72.5519,310.8,0.39,0.36,2025-04-10,2054,N,VIIRS,n,2,295.06,1.14,N,0
22.07785,72.55632,310.09,0.39,0.36,2025-04-10,2054,N,VIIRS,n,2,295.51,1.32,N,0
22.07993,72.56452,327.04,0.39,0.36,2025-04-10,2054,N,VIIRS,n,2,296.23,2.35,N,0
22.08119,72.55695,311.81,0.39,0.36,2025-04-10,2054,N,VIIRS,n,2,294.22,1.32,N,0
21.39479,72.95177,310.53,0.55,0.51,2025-04-12,2017,N,VIIRS,n,2,296.25,2.65,N,0
21.39576,72.95327,314.77,0.55,0.51,2025-04-12,2017,N,VIIRS,n,2,296.35,2.59,N,0
21.68538,72.91689,333.72,0.55,0.68,2025-04-13,909,N,VIIRS,l,2,305.59,5.58,D,0
21.71741,72.72929,348.01,0.54,0.68,2025-04-13,909,N,VIIRS,n,2,309.93,3.33,D,0
21.72126,72.72784,341.01,0.54,0.68,2025-04-13,909,N,VIIRS,n,2,309.83,3.67,D,0
21.39211,72.95471,306.17,0.55,0.68,2025-04-13,1958,N,VIIRS,n,2,294.75,1.92,N,0
21.39346,72.95483,310.32,0.55,0.68,2025-04-13,1958,N,VIIRS,n,2,294.71,1.35,N,0
21.43043,72.97522,314.54,0.55,0.68,2025-04-13,1958,N,VIIRS,n,2,293.91,1.65,N,2
21.74686,72.57544,352.24,0.52,0.5,2025-04-14,851,N,VIIRS,n,2,316.78,9.64,D,0
