latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
21.46363,72.83401,331.18,0.57,0.43,2023-06-20,801,N,VIIRS,n,2,300.57,2.4,D,0
21.68572,72.56194,342.45,0.39,0.44,2023-06-20,801,N,VIIRS,n,2,298.56,3.27,D,0
21.68233,72.55905,306.6,0.57,0.43,2023-06-20,2030,N,VIIRS,n,2,285.74,9.04,N,0
21.68395,72.56055,339.94,0.57,0.43,2023-06-20,2030,N,VIIRS,n,2,285.21,10.81,N,0
21.68561,72.56514,306.83,0.57,0.43,2023-06-20,2030,N,VIIRS,n,2,284.79,9.04,N,0
21.68632,72.55962,343.84,0.57,0.43,2023-06-20,2030,N,VIIRS,n,2,286.5,9.04,N,0
21.68794,72.56113,346.27,0.57,0.43,2023-06-20,2030,N,VIIRS,n,2,286.4,10.81,N,0
21.68771,72.5605,367,0.38,0.59,2023-06-21,742,N,VIIRS,h,2,293.83,10.95,D,0
21.68833,72.55954,367,0.38,0.59,2023-06-21,742,N,VIIRS,h,2,293.53,13.34,D,0
21.68915,72.56322,330.62,0.38,0.59,2023-06-21,742,N,VIIRS,n,2,292.75,11.78,D,0
22.0184,72.91604,332,0.36,0.57,2023-06-21,742,N,VIIRS,n,2,293.59,2.05,D,0
21.68505,72.56307,357.18,0.41,0.61,2023-06-22,904,N,VIIRS,n,2,288.53,8.41,D,0
21.68748,72.56288,357.81,0.41,0.61,2023-06-22,904,N,VIIRS,l,2,288.64,5.36,D,0
21.68786,72.5669,331.71,0.41,0.61,2023-06-22,904,N,VIIRS,n,2,288.17,5.36,D,0
21.91625,72.69059,334.19,0.42,0.61,2023-06-22,904,N,VIIRS,n,2,287.22,3.43,D,0
21.91835,72.6908,330.23,0.42,0.61,2023-06-22,904,N,VIIRS,n,2,286.3,3.48,D,0
21.92514,72.70271,335.96,0.42,0.61,2023-06-22,904,N,VIIRS,n,2,285.91,2.59,D,0
21.494,72.91843,332.33,0.43,0.46,2023-06-23,845,N,VIIRS,n,2,299.44,2.53,D,0
21.64787,72.95392,331.3,0.43,0.46,2023-06-23,845,N,VIIRS,n,2,298.78,2.1,D,0
21.68757,72.56268,347.05,0.41,0.45,2023-06-23,845,N,VIIRS,n,2,297.83,4.22,D,0
21.73308,72.80387,331.23,0.42,0.45,2023-06-23,845,N,VIIRS,n,2,296.19,1.72,D,0
21.68208,72.56149,303.7,0.42,0.45,2023-06-23,2114,N,VIIRS,n,2,282.4,2.16,N,0
21.68551,72.56386,336.47,0.42,0.45,2023-06-23,2114,N,VIIRS,n,2,280.66,10.94,N,0
21.68622,72.56241,348.21,0.42,0.45,2023-06-23,2114,N,VIIRS,n,2,280.27,7.62,N,0
21.68628,72.55981,323.27,0.42,0.45,2023-06-23,2114,N,VIIRS,n,2,280.72,10.6,N,0
21.68702,72.55836,302.66,0.42,0.45,2023-06-23,2114,N,VIIRS,n,2,280.93,3.97,N,0
