latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
21.7678,72.62977,334.25,0.47,0.48,2023-01-06,755,N,VIIRS,n,2,296.84,3.69,D,0
21.68192,72.53291,309.68,0.47,0.47,2023-01-06,2023,N,VIIRS,n,2,291.2,1.65,N,0
22.09774,72.63123,299.69,0.47,0.47,2023-01-06,2023,N,VIIRS,n,2,289.36,1,N,0
21.39622,72.9093,335.31,0.45,0.63,2023-01-07,736,N,VIIRS,n,2,297.35,2.69,D,0
21.67988,72.53124,300.76,0.47,0.64,2023-01-07,2004,N,VIIRS,n,2,290.37,0.87,N,0
21.68268,72.53108,305.18,0.47,0.64,2023-01-07,2004,N,VIIRS,n,2,290.63,0.7,N,0
21.68119,72.5315,300.82,0.66,0.73,2023-01-07,2145,N,VIIRS,n,2,289.89,0.74,N,0
21.49885,72.98779,341.49,0.35,0.57,2023-01-08,857,N,VIIRS,n,2,301.53,1.87,D,0
21.49942,72.98887,335.12,0.35,0.57,2023-01-08,857,N,VIIRS,n,2,301.14,1.58,D,0
21.74899,72.67886,354.77,0.34,0.56,2023-01-08,857,N,VIIRS,n,2,302.57,3.85,D,0
21.75417,72.67829,338.19,0.34,0.56,2023-01-08,857,N,VIIRS,n,2,301.45,3.85,D,0
21.77915,72.61569,338.78,0.33,0.56,2023-01-08,857,N,VIIRS,n,2,301.4,3.47,D,0
21.88341,72.65228,333.91,0.34,0.56,2023-01-08,857,N,VIIRS,n,2,302.23,1.51,D,0
21.88458,72.65233,338.03,0.34,0.56,2023-01-08,857,N,VIIRS,n,2,302.55,2.05,D,0
21.68231,72.53336,301.11,0.33,0.56,2023-01-08,2126,N,VIIRS,n,2,289.91,0.43,N,0
21.68301,72.53018,300.75,0.33,0.56,2023-01-08,2126,N,VIIRS,n,2,290.35,0.43,N,0
21.90535,72.75705,311.24,0.34,0.56,2023-01-08,2126,N,VIIRS,n,2,287.29,0.53,N,2
21.68252,72.53294,330.97,0.51,0.41,2023-01-09,839,N,VIIRS,l,2,305.61,5.06,D,0
22.09786,72.54313,338.7,0.51,0.41,2023-01-09,839,N,VIIRS,n,2,304.51,5.85,D,0
21.6809,72.53334,308.21,0.52,0.42,2023-01-09,2107,N,VIIRS,n,2,290.08,0.8,N,0
21.44707,72.8073,337.73,0.38,0.36,2023-01-10,820,N,VIIRS,n,2,308.95,2.44,D,0
21.68192,72.53307,338.81,0.39,0.36,2023-01-10,820,N,VIIRS,n,2,307.69,5.71,D,0
21.67966,72.53215,305.08,0.38,0.36,2023-01-10,2049,N,VIIRS,n,2,289.58,0.55,N,0
21.68297,72.53275,307.53,0.38,0.36,2023-01-10,2049,N,VIIRS,n,2,291.05,1.29,N,0
