latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
21.74574,72.93531,334.2,0.44,0.62,2024-04-15,735,N,VIIRS,n,2,301.52,1.49,D,0
21.81267,72.88713,335.58,0.44,0.62,2024-04-15,735,N,VIIRS,n,2,304.09,1.78,D,0
21.81335,72.88725,336.39,0.44,0.62,2024-04-15,735,N,VIIRS,n,2,304.29,0.95,D,0
21.74269,72.62246,367,0.34,0.56,2024-04-16,857,N,VIIRS,h,2,303.63,6.12,D,0
21.81564,72.77625,338.69,0.35,0.57,2024-04-16,857,N,VIIRS,n,2,302.21,2.34,D,0
22.08242,72.90423,333.77,0.36,0.57,2024-04-16,857,N,VIIRS,l,2,306.53,3.29,D,0
21.53345,72.81923,340.26,0.54,0.42,2024-04-17,838,N,VIIRS,l,2,311.82,8.14,D,0
21.71413,72.92997,341.9,0.55,0.42,2024-04-17,838,N,VIIRS,l,2,313.72,13.28,D,0
22.06128,72.71677,346.11,0.54,0.42,2024-04-17,838,N,VIIRS,l,2,319.07,14.48,D,0
21.39538,72.95287,319.39,0.57,0.43,2024-04-17,2107,N,VIIRS,n,2,296.99,2.04,N,0
21.73555,72.88972,348.93,0.38,0.36,2024-04-18,819,N,VIIRS,n,2,317.44,10.82,D,0
21.75299,72.67361,344.37,0.38,0.36,2024-04-18,819,N,VIIRS,l,2,319.11,8.41,D,0
21.7564,72.84814,350.57,0.38,0.36,2024-04-18,819,N,VIIRS,n,2,317.45,3.64,D,0
21.83053,72.98296,346.57,0.38,0.36,2024-04-18,819,N,VIIRS,n,2,313.44,8.26,D,0
22.01685,72.78339,341.24,0.38,0.36,2024-04-18,819,N,VIIRS,l,2,314.56,9.03,D,0
22.05124,72.85346,347.25,0.38,0.36,2024-04-18,819,N,VIIRS,l,2,318.26,9.79,D,0
22.0097,72.78548,312.87,0.38,0.36,2024-04-18,2048,N,VIIRS,n,2,295.52,2.47,N,0
21.48033,72.73232,338.18,0.56,0.43,2024-04-19,800,N,VIIRS,n,2,307.62,7.33,D,0
21.73004,72.68624,346.16,0.55,0.43,2024-04-19,800,N,VIIRS,n,2,308.81,23.98,D,0
21.73907,72.9344,337.8,0.54,0.42,2024-04-19,800,N,VIIRS,l,2,308.45,6.65,D,0
21.80907,72.94659,335.34,0.53,0.42,2024-04-19,800,N,VIIRS,l,2,307.27,3.8,D,0
21.98995,72.69658,342.73,0.55,0.43,2024-04-19,800,N,VIIRS,n,2,310.51,14.27,D,0
21.99021,72.69904,341.37,0.55,0.43,2024-04-19,800,N,VIIRS,n,2,310.61,15.1,D,0
22.00244,72.76735,349.99,0.54,0.42,2024-04-19,800,N,VIIRS,n,2,310.3,13.24,D,0
22.00358,72.76993,338.2,0.54,0.42,2024-04-19,800,N,VIIRS,n,2,306.82,10.49,D,0
