latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
21.62809,72.8089,352.23,0.38,0.36,2025-04-05,819,N,VIIRS,n,2,320.17,11.29,D,0
21.40309,72.96923,316.06,0.38,0.36,2025-04-05,2048,N,VIIRS,n,2,295.94,1.16,N,0
21.79615,72.64663,307.85,0.56,0.43,2025-04-06,2029,N,VIIRS,n,2,297.52,1.87,N,0
21.35402,72.78733,340.43,0.37,0.58,2025-04-07,741,N,VIIRS,n,2,309.76,3.66,D,0
21.40936,72.83744,338.48,0.37,0.58,2025-04-07,741,N,VIIRS,n,2,309.35,2.37,D,0
21.43174,72.99384,339.91,0.36,0.57,2025-04-07,741,N,VIIRS,n,2,312.03,1.81,D,0
21.62656,72.81018,344.29,0.37,0.58,2025-04-07,741,N,VIIRS,n,2,312.75,4.89,D,0
21.62925,72.8081,367,0.37,0.58,2025-04-07,741,N,VIIRS,h,2,315.68,10.07,D,0
21.63182,72.8089,367,0.37,0.58,2025-04-07,741,N,VIIRS,h,2,312.25,6.99,D,0
22.00491,72.95366,344.68,0.35,0.57,2025-04-07,741,N,VIIRS,n,2,310.41,3.01,D,0
22.00528,72.9542,341.01,0.35,0.57,2025-04-07,741,N,VIIRS,n,2,309.3,4.03,D,0
22.0571,72.67085,341.85,0.37,0.58,2025-04-07,741,N,VIIRS,n,2,314.18,8.34,D,0
22.06159,72.66603,356.71,0.37,0.58,2025-04-07,741,N,VIIRS,n,2,315.62,8.34,D,0
22.06237,72.66955,367,0.37,0.58,2025-04-07,741,N,VIIRS,h,2,311.89,8.34,D,0
21.8095,72.78088,332.59,0.71,0.75,2025-04-08,723,N,VIIRS,n,2,306.36,7.49,D,0
21.81123,72.7878,367,0.71,0.75,2025-04-08,723,N,VIIRS,h,2,309.06,7.49,D,0
21.62799,72.80315,367,0.43,0.62,2025-04-08,903,N,VIIRS,h,2,312.04,8.85,D,0
21.78254,72.64438,342.31,0.42,0.61,2025-04-08,903,N,VIIRS,l,2,312.57,2.56,D,0
21.78381,72.64351,341.25,0.42,0.61,2025-04-08,903,N,VIIRS,l,2,312.26,2.47,D,0
21.42753,72.78655,336.57,0.42,0.46,2025-04-09,844,N,VIIRS,l,2,311.54,3.25,D,0
21.44864,72.962,338.13,0.44,0.46,2025-04-09,844,N,VIIRS,l,2,311.34,2.44,D,0
21.52336,72.83833,339.5,0.43,0.46,2025-04-09,844,N,VIIRS,l,2,312.55,3.14,D,0
21.60879,72.83623,348.15,0.43,0.46,2025-04-09,844,N,VIIRS,n,2,316.06,8.68,D,0
21.71683,72.66642,343.28,0.42,0.45,2025-04-09,844,N,VIIRS,l,2,315.82,12.34,D,0
21.99673,72.60609,345.78,0.42,0.45,2025-04-09,844,N,VIIRS,l,2,319.65,18.49,D,0
